#Data: SHAPE_SFM_49k_v20180804.dat
#Number of Polygons: 49152
#Rotational Period: 3.4 [h] , Density: 1200 [kg/m^3] 
#Unit: Polygon center coordinate in km, and SI units for other values.49152
#PlateID  center_x   center_y   center_z   lon    lat    CRefAccx   CRefAccy   CRefAccz   attract_x  attract_y  attract_z  Gpotential Rpotential Tpotential GeopotentialSlope  normal_x    normal_y    normal_z   area   
           1    -0.2531      0.249     0.2612  135.5  36.34  -6.67e-05  6.562e-05         -0  1.158e-05 -1.287e-05 -9.865e-05     0.0678    0.01661   -0.08441  55.65      -3.323        58.75        29.71 3.296e-05 
           2    -0.2582     0.2478     0.2632  136.2  36.33 -6.804e-05  6.529e-05         -0   1.11e-05  -1.15e-05 -9.802e-05    0.06731    0.01687   -0.08418  56.51       -2.98        55.78        28.08 3.126e-05 
           3    -0.2583     0.2454     0.2669  136.5  36.83 -6.807e-05  6.468e-05         -0  1.069e-05 -1.039e-05 -9.913e-05    0.06711    0.01673   -0.08384  47.65      -3.453        54.48        40.03 3.384e-05 
           4    -0.2628     0.2438     0.2681  137.2  36.79 -6.926e-05  6.424e-05         -0  1.087e-05 -8.791e-06 -9.859e-05    0.06675    0.01693   -0.08368  42.25      -11.36         42.4        38.73 2.927e-05 
           5    -0.2619     0.2402     0.2711  137.5  37.33 -6.902e-05  6.331e-05         -0  1.101e-05 -7.781e-06 -0.0001003    0.06679    0.01664   -0.08343   24.4      -13.97        30.86        56.99 3.315e-05 
           6    -0.2654     0.2374      0.271  138.2  37.27 -6.993e-05  6.256e-05         -0  1.197e-05 -6.508e-06 -0.0001001    0.06672     0.0167   -0.08342  21.34      -28.56        16.82        59.58 3.409e-05 
           7    -0.2636     0.2329     0.2731  138.5  37.83 -6.946e-05  6.137e-05         -0  1.261e-05 -6.152e-06 -0.0001018    0.06695     0.0163   -0.08325  21.57      -28.73         17.4        59.67 3.424e-05 
           8    -0.2658     0.2291     0.2715  139.2  37.73 -7.003e-05  6.037e-05         -0   1.43e-05 -5.276e-06 -0.0001017    0.06719    0.01622   -0.08341  39.98      -56.65       -18.57        56.79 4.117e-05 
           9    -0.2633     0.2242      0.273  139.6  38.28 -6.938e-05  5.908e-05         -0  1.521e-05 -5.717e-06 -0.0001033    0.06757    0.01576   -0.08332  40.85      -57.06       -6.469        50.53 3.824e-05 
          10    -0.2654     0.2205     0.2709  140.3  38.13 -6.993e-05   5.81e-05         -0  1.629e-05 -6.017e-06 -0.0001033    0.06785    0.01568   -0.08353  32.76       -44.1        6.855        49.46 3.331e-05 
          11    -0.2635      0.216      0.273  140.7   38.7 -6.944e-05  5.692e-05         -0  1.656e-05 -6.316e-06 -0.0001046    0.06807     0.0153   -0.08336  32.22      -47.16         5.24        53.73 3.584e-05 
          12    -0.2663     0.2129     0.2716  141.3  38.54 -7.016e-05  5.611e-05         -0  1.706e-05 -6.597e-06 -0.0001043    0.06817    0.01532   -0.08349  26.65       -34.4        17.38        52.03 3.238e-05 
          13    -0.2647     0.2086     0.2743  141.8  39.14 -6.976e-05  5.497e-05         -0  1.705e-05 -6.864e-06 -0.0001056    0.06829    0.01497   -0.08326  28.98      -36.84        23.46        54.63 3.497e-05 
